TIME_PERIOD,REF_AREA,MEASURE,COUNTRY,MEASURE_CAT,UNIT,SEX,OBS_VALUE
1/1/1975,ARG,Calories supply,Argentina,CLS,Kilocalories per person per day,Total,3162
1/1/1975,ARG,Calories supply,Argentina,CLS,Kilocalories per person per day,Male,3162
1/1/1975,ARG,Calories supply,Argentina,CLS,Kilocalories per person per day,Female,3162
1/1/1975,AUS,Calories supply,Australia,CLS,Kilocalories per person per day,Total,3093
1/1/1975,AUS,Calories supply,Australia,CLS,Kilocalories per person per day,Male,3093
1/1/1975,AUS,Calories supply,Australia,CLS,Kilocalories per person per day,Female,3093
1/1/1975,CHN,Calories supply,China,CLS,Kilocalories per person per day,Total,1909
1/1/1975,CHN,Calories supply,China,CLS,Kilocalories per person per day,Male,1909
1/1/1975,CHN,Calories supply,China,CLS,Kilocalories per person per day,Female,1909
1/1/1975,HRV,Calories supply,Croatia,CLS,Kilocalories per person per day,Total,2312
1/1/1975,HRV,Calories supply,Croatia,CLS,Kilocalories per person per day,Male,2312
1/1/1975,HRV,Calories supply,Croatia,CLS,Kilocalories per person per day,Female,2312
1/1/1975,FIN,Calories supply,Finland,CLS,Kilocalories per person per day,Total,3205
1/1/1975,FIN,Calories supply,Finland,CLS,Kilocalories per person per day,Male,3205
1/1/1975,FIN,Calories supply,Finland,CLS,Kilocalories per person per day,Female,3205
1/1/1975,IND,Calories supply,India,CLS,Kilocalories per person per day,Total,2060
1/1/1975,IND,Calories supply,India,CLS,Kilocalories per person per day,Male,2060
1/1/1975,IND,Calories supply,India,CLS,Kilocalories per person per day,Female,2060
1/1/1975,IDN,Calories supply,Indonesia,CLS,Kilocalories per person per day,Total,2080
1/1/1975,IDN,Calories supply,Indonesia,CLS,Kilocalories per person per day,Male,2080
1/1/1975,IDN,Calories supply,Indonesia,CLS,Kilocalories per person per day,Female,2080
1/1/1975,JPN,Calories supply,Japan,CLS,Kilocalories per person per day,Total,2716
1/1/1975,JPN,Calories supply,Japan,CLS,Kilocalories per person per day,Male,2716
1/1/1975,JPN,Calories supply,Japan,CLS,Kilocalories per person per day,Female,2716
1/1/1975,NLD,Calories supply,Netherlands,CLS,Kilocalories per person per day,Total,2974
1/1/1975,NLD,Calories supply,Netherlands,CLS,Kilocalories per person per day,Male,2974
1/1/1975,NLD,Calories supply,Netherlands,CLS,Kilocalories per person per day,Female,2974
1/1/1975,PER,Calories supply,Peru,CLS,Kilocalories per person per day,Total,2606
1/1/1975,PER,Calories supply,Peru,CLS,Kilocalories per person per day,Male,2606
1/1/1975,PER,Calories supply,Peru,CLS,Kilocalories per person per day,Female,2606
1/1/1975,ROU,Calories supply,Romania,CLS,Kilocalories per person per day,Total,3065
1/1/1975,ROU,Calories supply,Romania,CLS,Kilocalories per person per day,Male,3065
1/1/1975,ROU,Calories supply,Romania,CLS,Kilocalories per person per day,Female,3065
1/1/1975,ZAF,Calories supply,South Africa,CLS,Kilocalories per person per day,Total,2897
1/1/1975,ZAF,Calories supply,South Africa,CLS,Kilocalories per person per day,Male,2897
1/1/1975,ZAF,Calories supply,South Africa,CLS,Kilocalories per person per day,Female,2897
1/1/1975,SWE,Calories supply,Sweden,CLS,Kilocalories per person per day,Total,2932
1/1/1975,SWE,Calories supply,Sweden,CLS,Kilocalories per person per day,Male,2932
1/1/1975,SWE,Calories supply,Sweden,CLS,Kilocalories per person per day,Female,2932
1/1/1975,GBR,Calories supply,United Kingdom,CLS,Kilocalories per person per day,Total,3126
1/1/1975,GBR,Calories supply,United Kingdom,CLS,Kilocalories per person per day,Male,3126
1/1/1975,GBR,Calories supply,United Kingdom,CLS,Kilocalories per person per day,Female,3126
1/1/1975,USA,Calories supply,United States,CLS,Kilocalories per person per day,Total,3033
1/1/1975,USA,Calories supply,United States,CLS,Kilocalories per person per day,Male,3033
1/1/1975,USA,Calories supply,United States,CLS,Kilocalories per person per day,Female,3033
1/1/1975,WLD,Calories supply,World,CLS,Kilocalories per person per day,Female,2744.666667
1/1/1975,WLD,Calories supply,World,CLS,Kilocalories per person per day,Male,2744.666667
1/1/1975,WLD,Calories supply,World,CLS,Kilocalories per person per day,Total,2744.666667
1/1/1975,ARG,Fat supply,Argentina,FTS,Grammes per person per day,Total,103.9
1/1/1975,ARG,Fat supply,Argentina,FTS,Grammes per person per day,Male,103.9
1/1/1975,ARG,Fat supply,Argentina,FTS,Grammes per person per day,Female,103.9
1/1/1975,AUS,Fat supply,Australia,FTS,Grammes per person per day,Total,113
1/1/1975,AUS,Fat supply,Australia,FTS,Grammes per person per day,Male,113
1/1/1975,AUS,Fat supply,Australia,FTS,Grammes per person per day,Female,113
1/1/1975,CHN,Fat supply,China,FTS,Grammes per person per day,Total,25.2
1/1/1975,CHN,Fat supply,China,FTS,Grammes per person per day,Male,25.2
1/1/1975,CHN,Fat supply,China,FTS,Grammes per person per day,Female,25.2
1/1/1975,HRV,Fat supply,Croatia,FTS,Grammes per person per day,Total,68.4
1/1/1975,HRV,Fat supply,Croatia,FTS,Grammes per person per day,Male,68.4
1/1/1975,HRV,Fat supply,Croatia,FTS,Grammes per person per day,Female,68.4
1/1/1975,FIN,Fat supply,Finland,FTS,Grammes per person per day,Total,136.2
1/1/1975,FIN,Fat supply,Finland,FTS,Grammes per person per day,Male,136.2
1/1/1975,FIN,Fat supply,Finland,FTS,Grammes per person per day,Female,136.2
1/1/1975,IND,Fat supply,India,FTS,Grammes per person per day,Total,31.7
1/1/1975,IND,Fat supply,India,FTS,Grammes per person per day,Male,31.7
1/1/1975,IND,Fat supply,India,FTS,Grammes per person per day,Female,31.7
1/1/1975,IDN,Fat supply,Indonesia,FTS,Grammes per person per day,Total,30.3
1/1/1975,IDN,Fat supply,Indonesia,FTS,Grammes per person per day,Male,30.3
1/1/1975,IDN,Fat supply,Indonesia,FTS,Grammes per person per day,Female,30.3
1/1/1975,JPN,Fat supply,Japan,FTS,Grammes per person per day,Total,62.2
